NAME,T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
NGASAI 1,150,1000,144,150,149,171,132,157,150,124,190,65,218,230,230,180,180,180,180,184,175,218,157,121,243,159,220,184,175
NGASAI 1,150,1000,144,150,149,192,112,151,149,147,140,151,151,228,239,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 1,150,1000,144,137,149,258,40,157,150,171,128,150,150,110,110,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 1,150,1000,144,150,149,200,100,176,126,150,150,111,193,204,203,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 1,150,1000,144,137,149,258,40,157,150,171,128,150,150,110,100,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 1,150,1000,144,137,149,200,100,176,126,150,150,121,188,204,215,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 1,150,1000,144,137,149,258,55,157,150,171,128,150,150,110,100,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI,150,1000,144,150,149,200,100,157,150,166,134,150,150,204,215,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI,150,1000,144,150,149,250,47,157,150,150,150,150,150,100,100,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI,150,1000,144,137,149,162,138,157,142,126,174,62,238,208,208,241,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI,150,1000,144,150,149,250,47,157,150,150,150,150,150,100,100,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI,150,1000,144,137,149,162,138,157,142,126,174,62,238,208,208,241,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,150,149,195,107,150,150,150,150,150,150,220,207,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,167,104,264,103,145,151,164,146,138,149,148,150,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,133,104,264,103,145,151,164,146,138,149,106,106,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,167,104,264,103,145,151,164,146,138,149,194,194,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,133,104,264,103,145,151,164,146,138,149,106,106,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,133,196,186,44,145,151,164,146,138,149,106,106,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,167,196,186,44,145,151,164,146,138,149,180,180,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,133,196,186,44,145,151,164,146,138,149,106,106,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,167,196,186,44,145,151,164,146,138,149,180,180,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,133,196,186,44,145,151,164,146,138,149,106,106,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NGASAI 3,150,1000,144,150,149,195,107,150,150,150,150,150,150,220,207,180,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1