T_XL320,T_XM430,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
100,2000,-1,-1,-1,140,85,150,150,95,174,59,211,209,189,234,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,-1,-1,-1,220,163,150,150,126,205,89,240,175,209,234,-1,180,180,180,180,180,180,180,180,180,180,180,180
100,2000,-1,-1,-1,140,85,150,150,95,174,59,211,209,184,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,-1,-1,-1,220,163,150,150,126,205,89,240,175,209,-1,-1,180,180,180,180,180,180,180,180,180,180,180,180
100,2000,-1,-1,-1,,,,,,,,,,,-1,-1,180,180,180,180,215,145,106,253,138,222,180,180
100,2000,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,
100,2000,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,